hostname is old-www.cs.dartmouth.edu
 0 Extracted: http://old-www.cs.dartmouth.edu/~scrowe/
 0     Saved: http://old-www.cs.dartmouth.edu/~scrowe/
 0  Scanning: http://old-www.cs.dartmouth.edu/~scrowe/
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/?C=N;O=D/
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/?C=N;O=D/
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/?C=M;O=A/
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/?C=M;O=A/
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/?C=S;O=A/
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/?C=S;O=A/
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/?C=D;O=A/
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/?C=D;O=A/
 0     Found: http://old-www.cs.dartmouth.edu/
 0     Added: http://old-www.cs.dartmouth.edu/
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/A.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/A.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/B.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/B.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/C.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/C.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/D.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/D.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/E.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/E.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/F.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/F.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/G.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/G.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/H.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/H.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/forbidden.html
 0 IgnBroken: http://old-www.cs.dartmouth.edu/~scrowe/forbidden.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/index_basicsetup.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/index_basicsetup.html
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/pretty.png
 0 IgnExtern: http://old-www.cs.dartmouth.edu/~scrowe/pretty.png
 0     Found: http://old-www.cs.dartmouth.edu/~scrowe/testindex.html
 0     Added: http://old-www.cs.dartmouth.edu/~scrowe/testindex.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/testindex.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/testindex.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/index_basicsetup.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/index_basicsetup.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/H.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/H.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/G.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/G.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/F.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/F.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/E.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/E.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/D.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/D.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/C.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/C.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/B.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/B.html
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/A.html
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/A.html
 1  Extracted: http://old-www.cs.dartmouth.edu/
 1      Saved: http://old-www.cs.dartmouth.edu/
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/?C=D;O=A/
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/?C=D;O=A/
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/?C=S;O=A/
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/?C=S;O=A/
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/?C=M;O=A/
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/?C=M;O=A/
 1  Extracted: http://old-www.cs.dartmouth.edu/~scrowe/?C=N;O=D/
 1      Saved: http://old-www.cs.dartmouth.edu/~scrowe/?C=N;O=D/
